queue_rank,old_rank,eligible,processed,fund,usable,missing,missing_fields,official_routes,canonical_web_status,expected_recoverable_fields,score_values_per_minute,age_class,established_year,age_evidence_kind,age_evidence,age_blocked_fields,age_penalty,expected_recoverable_fields_old,reason,fund_index,ico,web,high,medium,low,expected_raw_slots,route_quality,penalty_factor,bonus_factor,expected_minutes,proven_hosts,cached_documents,cached_unexploited,slug
46,60,yes,no,"MOF INVEST uzavřený investiční fond, a.s.",5,6,investment_horizon;minimum_investment;target_return;annual_returns;historical_values;news,AVANT > canonical web > Sbírka listin / ORSL,usable,4.025,1.15,MATURE,,no_age_evidence,,,1.0,4.025,proven official route (AVANT); exact IČO makes the register usable,270,24223824,https://www.avantfunds.cz/informace-o-fondech/,2,2,2,3.4999999999999996,1.0,1.0,1.15,3.5,avantfunds.cz,34,2,mof-invest-uzavreny-investicni-fond-a-s
47,62,yes,no,MARLO FUND SICAV a.s.,7,4,aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,3.9375,1.125,MATURE,,no_age_evidence,,,1.0,3.9375,proven official route (AVANT); one annual report can answer 3 missing fields,79,,https://marlofund.cz,3,0,1,3.15,1.0,1.0,1.25,3.5,avantfunds.cz;marlofund.cz,16,8,marlo-fund-sicav-a-s
48,63,yes,no,"Investhy SICAV, a.s.",5,6,minimum_investment;target_return;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,3.9375,1.125,MATURE,,no_age_evidence,,,1.0,3.9375,proven official route (AVANT); one annual report can answer 3 missing fields,146,,https://www.investhy.cz,0,5,1,3.15,1.0,1.0,1.25,3.5,avantfunds.cz,26,6,investhy-sicav-a-s
49,64,yes,no,YDeal Funds SICAV a.s.,2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web,usable,3.9375,1.125,MATURE,,no_age_evidence,,,1.0,3.9375,proven official route (AMISTA); one annual report can answer 4 missing fields,226,,https://ydealfunds.cz,0,4,5,3.15,1.0,1.0,1.25,3.5,amista.cz,4,0,ydeal-funds-sicav-a-s
50,65,yes,no,JSK Investments SICAV a.s.,5,6,target_return;assets_under_management;aum_history;annual_returns;historical_values;news,canonical web,usable,2.772,1.1088,MATURE,,no_age_evidence,,,1.0,2.772,canonical website only; 16 sound cached documents never read,265,,https://jskinvestments.cz,0,6,0,3.6,0.7,1.0,1.1,2.5,res.cloudinary.com;jskinvestments.cz,25,16,jsk-investments-sicav-a-s
51,66,yes,no,EAG Funds SICAV a.s.,3,8,target_return;fees;assets_under_management;administrator;aum_history;annual_returns;historical_values;news,canonical web,usable,2.73,1.092,MATURE,,no_age_evidence,,,1.0,2.73,canonical website only,137,,https://axelor.group/en/Fond-EAG-Digital-automotive,0,6,2,3.9,0.7,1.0,1.0,2.5,axelor.group;portiva.cz,19,0,eag-funds-sicav-a-s
52,67,yes,no,NEW EUROPE SICAV a.s.,6,5,minimum_investment;target_return;aum_history;annual_returns;news,AVANT > canonical web,usable,3.75,1.0714,MATURE,,no_age_evidence,,,1.0,3.75,proven official route (AVANT),151,,https://www.avantfunds.cz/,3,1,1,3.75,1.0,1.0,1.0,3.5,avantfunds.cz,56,2,new-europe-sicav-a-s
53,68,yes,no,NWD SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,other official hub > canonical web > Sbírka listin / ORSL,usable,3.7125,1.0607,MATURE,2016,recorded_establishment_date,2016-08-03,,1.0,3.7125,proven official route (other official hub); one annual report can answer 4 missing fields; 21 sound cached documents never read,152,,https://nwd.cz,0,4,2,2.7,1.0,1.0,1.375,3.5,nwd.cz,33,21,nwd-sicav-a-s
54,69,yes,no,"FRANCO SICAV, a.s.",6,5,minimum_investment;target_return;aum_history;annual_returns;news,AVANT > canonical web,usable,3.685,1.0529,MATURE,,no_age_evidence,,,1.0,3.685,proven official route (AVANT); 11 sound cached documents never read,104,,https://www.francofond.cz/,2,2,1,3.35,1.0,1.0,1.1,3.5,avantfunds.cz;francosicav.cz,15,11,franco-sicav-a-s
55,70,yes,no,"MAGEF CAPITAL SICAV, a.s.",5,6,investment_horizon;minimum_investment;target_return;fees;annual_returns;news,AVANT > canonical web,usable,3.685,1.0529,MATURE,,no_age_evidence,,,1.0,3.685,proven official route (AVANT); 17 sound cached documents never read,150,,https://magefcapitalsicav.cz/,2,2,1,3.35,1.0,1.0,1.1,3.5,avantfunds.cz,25,17,magef-capital-sicav-a-s
56,14,no,yes,ASCAVIA SICAV a.s.,4,7,target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,DELTA IS > canonical web,usable,3.6438,1.0411,ONE_STUB_PERIOD,2025,recorded_establishment_date,2025-06-04,annual_returns;assets_under_management;aum_history;historical_values,0.5761,6.325,proven official route (DELTA IS); one annual report can answer 4 missing fields; 18 sound cached documents never read,178,,https://ascavia.cz,1,6,0,4.6,1.0,1.0,1.375,3.5,ascavia.cz;deltais.cz,27,18,ascavia-sicav-a-s
57,71,yes,no,"JTFG FUND V SICAV, a.s.",4,7,investment_horizon;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,3.5625,1.0179,MATURE,,no_age_evidence,,,1.0,3.5625,proven official route (AMISTA); one annual report can answer 4 missing fields,110,17856400,https://www.amista.cz,0,4,3,2.85,1.0,1.0,1.25,3.5,amista.cz,49,0,jtfg-fund-v-sicav-a-s
58,74,yes,no,CCM SICAV III a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,DELTA IS > canonical web > Sbírka listin / ORSL,usable,3.5625,1.0179,MATURE,,no_age_evidence,,,1.0,3.5625,proven official route (DELTA IS); one annual report can answer 4 missing fields,186,24384186,https://deltains.cz,0,4,3,2.85,1.0,1.0,1.25,3.5,deltais.cz,1,0,ccm-sicav-iii-a-s
59,76,yes,no,CE 2 SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,3.5625,1.0179,MATURE,,no_age_evidence,,,1.0,3.5625,proven official route (AMISTA); one annual report can answer 4 missing fields,241,09758321,https://www.amista.cz/povinne-informace.html,0,4,3,2.85,1.0,1.0,1.25,3.5,amista.cz,20,0,ce-2-sicav-a-s
60,77,yes,no,Orinoco Invest SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web,usable,3.5625,1.0179,MATURE,,no_age_evidence,,,1.0,3.5625,proven official route (AMISTA); one annual report can answer 4 missing fields,320,,https://www.amista.cz/povinne-informace.html,0,4,3,2.85,1.0,1.0,1.25,3.5,amista.cz,20,0,orinoco-invest-sicav-a-s
61,78,yes,no,Altair SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,DELTA IS > canonical web,usable,3.5625,1.0179,MATURE,,no_age_evidence,,,1.0,3.5625,proven official route (DELTA IS); one annual report can answer 4 missing fields,333,,https://deltais.cz,0,4,3,2.85,1.0,1.0,1.25,3.5,deltais.cz,40,0,altair-sicav-a-s
62,79,yes,no,"Generalist Capital Management SICAV, a.s.",5,6,minimum_investment;target_return;fees;annual_returns;historical_values;news,AVANT > canonical web,usable,3.55,1.0143,MATURE,,no_age_evidence,,,1.0,3.55,proven official route (AVANT),143,,https://generalistcapital.com,1,4,1,3.5500000000000003,1.0,1.0,1.0,3.5,avantfunds.cz,8,5,generalist-capital-management-sicav-a-s
