queue_rank,old_rank,eligible,processed,fund,usable,missing,missing_fields,official_routes,canonical_web_status,expected_recoverable_fields,score_values_per_minute,age_class,established_year,age_evidence_kind,age_evidence,age_blocked_fields,age_penalty,expected_recoverable_fields_old,reason,fund_index,ico,web,high,medium,low,expected_raw_slots,route_quality,penalty_factor,bonus_factor,expected_minutes,proven_hosts,cached_documents,cached_unexploited,slug
83,98,yes,no,"HZ Trust SICAV, a.s.",4,7,target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,Sbírka listin / ORSL > other official hub > canonical web,usable,3.0,0.8571,MATURE,,no_age_evidence,,,1.0,3.0,proven official route (other official hub); one annual report can answer 4 missing fields,263,,https://cyrrusis.cz,0,4,0,2.4,1.0,1.0,1.25,3.5,cyrrusis.cz;or.justice.cz,18,3,hz-trust-sicav-a-s
84,31,no,yes,Mauricius SICAV a.s.,3,8,minimum_investment;target_return;assets_under_management;administrator;aum_history;annual_returns;historical_values;news,other official hub > canonical web,usable,3.0,0.8571,ONE_STUB_PERIOD,2025,recorded_establishment_date,2025-07-21,annual_returns;assets_under_management;aum_history;historical_values,0.5517,5.4375,proven official route (other official hub); one annual report can answer 5 missing fields,275,,https://nwd.cz,0,7,1,4.3500000000000005,1.0,1.0,1.25,3.5,nwd.cz,31,0,mauricius-sicav-a-s
85,99,yes,no,"AOP FOND, SICAV, a.s.",6,5,investment_horizon;target_return;fees;aum_history;news,other official hub > canonical web,usable,2.95,0.8429,MATURE,,no_age_evidence,,,1.0,2.95,proven official route (other official hub),300,,https://www.redsidefunds.com/cs/fondy/aop-fond,1,3,1,2.9499999999999997,1.0,1.0,1.0,3.5,redsidefunds.com,46,5,aop-fond-sicav-a-s
86,72,yes,no,CCM SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,DELTA IS > canonical web > Sbírka listin / ORSL,usable,2.8969,0.8277,TWO_PERIODS,2024,ico_band,IČO 22107681,annual_returns;aum_history;historical_values,0.8132,3.5625,proven official route (DELTA IS); one annual report can answer 4 missing fields,127,22107681,https://deltains.cz,0,4,3,2.85,1.0,1.0,1.25,3.5,deltais.cz,1,0,ccm-sicav-a-s
87,100,yes,no,VERSUTE Funds SICAV a.s.,6,5,assets_under_management;aum_history;annual_returns;historical_values;news,other official hub > canonical web,usable,2.8875,0.825,MATURE,,no_age_evidence,,,1.0,2.8875,proven official route (other official hub); one annual report can answer 4 missing fields; 10 sound cached documents never read,172,,https://versute.cz,0,3,2,2.0999999999999996,1.0,1.0,1.375,3.5,versute.cz,16,10,versute-funds-sicav-a-s
88,61,yes,no,Robot Asset Management SICAV a.s.,6,5,fees;assets_under_management;aum_history;annual_returns;news,canonical web,usable,2.0212,0.8085,TWO_PERIODS,2024,recorded_establishment_date,2024-03-11,annual_returns;aum_history,0.7119,2.8394,canonical website only; one annual report can answer 3 missing fields; 12 sound cached documents never read,32,,https://www.fondquant.cz,1,3,1,2.95,0.7,1.0,1.375,2.5,fondquant.cz,26,12,robot-asset-management-sicav-a-s
89,103,yes,no,JF Fund SICAV a.s.,5,6,target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web,usable,2.8125,0.8036,MATURE,,no_age_evidence,,,1.0,2.8125,proven official route (AMISTA); one annual report can answer 4 missing fields,200,,https://www.amista.cz/povinne-informace.html,0,3,3,2.25,1.0,1.0,1.25,3.5,amista.cz,22,0,jf-fund-sicav-a-s
90,104,yes,no,"COMES invest, investiční fond s proměnným základním kapitálem, a.s.",5,6,minimum_investment;target_return;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,2.8125,0.8036,MATURE,,no_age_evidence,,,1.0,2.8125,proven official route (AMISTA); one annual report can answer 3 missing fields,304,29119138,https://www.amista.cz/povinne-informace.html,0,3,3,2.25,1.0,1.0,1.25,3.5,amista.cz,22,0,comes-invest-investicni-fond-s-promennym-zakladnim-k
91,105,yes,no,Tatra Asset Management SICAV a.s.,5,6,target_return;assets_under_management;aum_history;annual_returns;historical_values;news,other official hub > canonical web,usable,2.8125,0.8036,MATURE,,no_age_evidence,,,1.0,2.8125,proven official route (other official hub); one annual report can answer 4 missing fields,337,,https://wood.cz/produkty/fondy/tatra-asset-management-waste-management-podfond/,0,3,3,2.25,1.0,1.0,1.25,3.5,datocms-assets.com;wood.cz,2,0,tatra-asset-management-sicav-a-s
92,106,yes,no,Dimension investiční fond SICAV a.s.,7,4,minimum_investment;fees;annual_returns;news,AVANT > Sbírka listin / ORSL > canonical web,usable,2.783,0.7951,MATURE,,no_age_evidence,,,1.0,2.783,proven official route (AVANT); exact IČO makes the register usable; 13 sound cached documents never read,136,05775787,https://www.dimension.cz/,1,2,0,2.2,1.0,1.0,1.265,3.5,avantfunds.cz;or.justice.cz,26,13,dimension-investicni-fond-sicav-a-s
93,107,yes,no,AMBEAT EQUITY fond dlouhodobé péče SICAV a.s.,4,7,minimum_investment;target_return;fees;aum_history;annual_returns;historical_values;news,AVANT > CODYA > canonical web,usable,3.5625,0.7917,MATURE,,no_age_evidence,,,1.0,3.5625,proven official route (AVANT); one annual report can answer 3 missing fields,53,,https://www.ambeatequity.cz,0,4,3,2.85,1.0,1.0,1.25,4.5,codyainvest.cz;webmiumtest.blob.core.windows.net;avantfunds.cz,19,5,ambeat-equity-fond-dlouhodobe-pece-sicav-a-s
94,80,yes,no,"SF Investments SICAV, a.s.",4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,2.6344,0.7527,TWO_PERIODS,2024,recorded_establishment_date,2024-01-24,annual_returns;aum_history;historical_values,0.7527,3.5,proven official route (AVANT); one annual report can answer 4 missing fields,165,,https://www.avantfunds.cz/cz/fondy/sf-investments-sicav-a-s/,1,2,4,2.8,1.0,1.0,1.25,3.5,avantfunds.cz,50,2,sf-investments-sicav-a-s
95,109,yes,no,Velaris Fond SICAV a.s.,6,5,assets_under_management;aum_history;annual_returns;historical_values;news,CODYA > canonical web,usable,2.625,0.75,MATURE,,no_age_evidence,,,1.0,2.625,proven official route (CODYA); one annual report can answer 4 missing fields,338,,https://velarisfund.com/,0,3,2,2.1,1.0,1.0,1.25,3.5,velarisfund.com;codyainvest.cz,8,3,velaris-fond-sicav-a-s
96,108,yes,no,"Potysz health, investiční fond s proměnným základním kapitálem, a.s.",6,5,assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web,usable,2.625,0.75,MATURE,,no_age_evidence,,,1.0,2.625,proven official route (AMISTA); one annual report can answer 4 missing fields,28,,https://www.phf.cz,0,3,2,2.0999999999999996,1.0,1.0,1.25,3.5,phf.cz;amista.cz,12,7,potysz-health-investicni-fond-s-promennym-zakladnim-
97,37,no,yes,"JTFG FUND III SICAV, a.s.",5,6,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values,J&T > canonical web > Sbírka listin / ORSL,usable,2.5625,0.7321,ONE_STUB_PERIOD,2025,recorded_first_accounting_period,2025-07-22/2025-12-31,annual_returns;assets_under_management;aum_history;historical_values,0.5125,5.0,proven official route (J&T); one annual report can answer 4 missing fields,201,23511494,https://jtis.cz,1,5,0,4.0,1.0,1.0,1.25,3.5,jtis.cz,33,1,jtfg-fund-iii-sicav-a-s
98,111,yes,no,"EXPANDIA Investments SICAV, a.s.",5,6,investment_horizon;minimum_investment;target_return;fees;administrator;annual_returns,canonical web,usable,1.785,0.714,MATURE,,no_age_evidence,,,1.0,1.785,canonical website only,19,,https://expandiaindustrialparks.cz,0,4,1,2.55,0.7,1.0,1.0,2.5,expandiaindustrialparks.cz,26,9,expandia-investments-sicav-a-s
99,73,yes,no,"H2O FUND SICAV, a.s.",3,8,investment_horizon;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,2.475,0.7071,TWO_PERIODS,2024,recorded_establishment_date,2024-09-17,annual_returns;aum_history;historical_values,0.6947,3.5625,proven official route (AVANT); one annual report can answer 4 missing fields,144,,https://h2ofund.eu,0,4,3,2.85,1.0,1.0,1.25,3.5,avantfunds.cz;h2ofund.eu,15,3,h2o-fund-sicav-a-s
100,112,yes,no,"Bohemian Empire, investiční fond s proměnným základním kapitálem, a.s.",4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,other official hub > canonical web,usable,2.4375,0.6964,MATURE,,no_age_evidence,,,1.0,2.4375,proven official route (other official hub); one annual report can answer 4 missing fields,61,,https://bohemianempire.cz,0,2,5,1.9499999999999995,1.0,1.0,1.25,3.5,conseq.cz;bohemianempire.cz,22,0,bohemian-empire-investicni-fond-s-promennym-zakladni
101,41,yes,no,Fond dostupného bydlení České republiky SICAV a.s.,2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,2.4375,0.6964,NO_CLOSED_PERIOD,2026,recorded_establishment_date,2026-01-15,annual_returns;assets_under_management;aum_history;historical_values,0.52,4.6875,proven official route (AMISTA); one annual report can answer 4 missing fields,73,,https://reico.cz,0,6,1,3.75,1.0,1.0,1.25,3.5,amista.cz,48,2,fond-dostupneho-bydleni-ceske-republiky-sicav-a-s
102,113,yes,no,"GoBuzz SICAV, a.s.",6,5,minimum_investment;aum_history;annual_returns;historical_values;news,Sbírka listin / ORSL > TILLER/Winstor > canonical web,usable,2.4375,0.6964,MATURE,,no_age_evidence,,,1.0,2.4375,proven official route (TILLER/Winstor); one annual report can answer 3 missing fields,107,,https://www.tillerfunds.cz/cs/portfolio/gobuzz-sicav,0,3,1,1.9499999999999997,1.0,1.0,1.25,3.5,tillerfunds.cz;or.justice.cz,34,3,gobuzz-sicav-a-s
103,114,yes,no,ALT investiční fond SICAV a.s.,2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,Sbírka listin / ORSL > canonical web,usable,4.4531,0.6851,MATURE,,no_age_evidence,,,1.0,4.4531,own site plus the register; one annual report can answer 4 missing fields,299,,https://akro.cz,1,6,1,4.75,0.75,1.0,1.25,6.5,or.justice.cz,29,2,alt-investicni-fond-sicav-a-s
104,115,yes,no,CASPYAN FUND SICAV a.s.,8,3,annual_returns;historical_values;news,canonical web,usable,1.6555,0.6622,MATURE,,no_age_evidence,,,1.0,1.6555,canonical website only; 17 sound cached documents never read,94,,https://caspyan.group,2,0,1,2.15,0.7,1.0,1.1,2.5,caspyan.group,24,17,caspyan-fund-sicav-a-s
105,45,yes,no,Renfin International SICAV a.s.,2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,2.2875,0.6536,ONE_STUB_PERIOD,2025,recorded_establishment_date,2025-01-27,annual_returns;assets_under_management;aum_history;historical_values,0.5083,4.5,proven official route (AVANT); one annual report can answer 4 missing fields,161,,http://www.renfin.eu,0,5,4,3.6,1.0,1.0,1.25,3.5,avantfunds.cz,22,4,renfin-international-sicav-a-s
106,116,yes,no,"MTK Invest SICAV, a.s.",1,10,investment_horizon;minimum_investment;target_return;fees;assets_under_management;administrator;aum_history;annual_returns;historical_values;news,canonical web,usable,1.6275,0.651,MATURE,,no_age_evidence,,,1.0,1.6275,canonical website only; one annual report can answer 5 missing fields; batch 01 already ran the only route this fund has,272,,https://www.encoram.com,2,7,0,6.199999999999999,0.7,0.3,1.25,2.5,,33,2,mtk-invest-sicav-a-s
107,117,yes,no,LongRiver Fund SICAV a.s.,2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,Sbírka listin / ORSL > canonical web,usable,4.2188,0.649,MATURE,,no_age_evidence,,,1.0,4.2188,own site plus the register; one annual report can answer 4 missing fields,24,,https://lr-investments.com,0,7,2,4.5,0.75,1.0,1.25,6.5,or.justice.cz,21,0,longriver-fund-sicav-a-s
108,55,yes,no,ResInvest Fund SICAV a.s.,4,7,investment_horizon;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,2.25,0.6429,ONE_STUB_PERIOD,2025,ico_band,IČO 23755911,annual_returns;assets_under_management;aum_history;historical_values,0.5455,4.125,proven official route (AMISTA); one annual report can answer 4 missing fields,83,23755911,https://www.resinvest.eu,0,5,2,3.3,1.0,1.0,1.25,3.5,amista.cz,23,1,resinvest-fund-sicav-a-s
109,120,yes,no,"Compact Property Fund, investiční fond s proměnným základním kapitálem, a.s.",5,6,target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,2.25,0.6429,MATURE,,no_age_evidence,,,1.0,2.25,proven official route (AMISTA); one annual report can answer 4 missing fields,305,03451488,https://www.amista.cz/povinne-informace.html,0,2,4,1.7999999999999998,1.0,1.0,1.25,3.5,amista.cz,20,0,compact-property-fund-investicni-fond-s-promennym-za
110,121,yes,no,"Spinnaker SICAV, a.s.",4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,Sbírka listin / ORSL > TILLER/Winstor > canonical web,usable,2.25,0.6429,MATURE,2023,recorded_first_accounting_period,2022-10-27/2023-12-31,,1.0,2.25,proven official route (TILLER/Winstor); one annual report can answer 4 missing fields,326,,https://www.tillerfunds.cz/en/portfolio/spinnaker-sicav,0,3,0,1.7999999999999998,1.0,1.0,1.25,3.5,tillerfunds.cz;or.justice.cz,31,9,spinnaker-sicav-a-s
111,122,yes,no,"Outulný investiční fond s proměnným základním kapitálem, a.s.",6,5,target_return;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,2.0625,0.5893,MATURE,,no_age_evidence,,,1.0,2.0625,proven official route (AMISTA); one annual report can answer 3 missing fields,154,24823244,https://www.ouif.cz,0,2,3,1.65,1.0,1.0,1.25,3.5,amista.cz,4,0,outulny-investicni-fond-s-promennym-zakladnim-kapita
112,124,yes,no,CEERE Opportunity SICAV a.s.,6,5,target_return;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,2.0625,0.5893,MATURE,,no_age_evidence,,,1.0,2.0625,proven official route (AMISTA); one annual report can answer 3 missing fields,242,19838034,https://www.amista.cz/povinne-informace.html,0,2,3,1.65,1.0,1.0,1.25,3.5,amista.cz,22,0,ceere-opportunity-sicav-a-s
113,126,yes,no,CREDITAS OPPORTUNITY SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,other official hub > canonical web > Sbírka listin / ORSL,usable,2.025,0.5786,MATURE,,no_age_evidence,,,1.0,2.025,proven official route (other official hub); one annual report can answer 4 missing fields; identity conflict on record,130,,https://www.creditasfondy.cz/fund/creditas-opportunity-sicav,0,4,2,2.7,1.0,0.6,1.25,3.5,creditas.cz,39,9,creditas-opportunity-sicav-a-s
114,129,yes,no,EKONOMIKA SICAV a.s.,2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,Sbírka listin / ORSL > canonical web,usable,3.6562,0.5625,MATURE,,no_age_evidence,,,1.0,3.6562,own site plus the register; one annual report can answer 4 missing fields,193,,https://www.investika.cz/en,0,6,2,3.9,0.75,1.0,1.25,6.5,or.justice.cz,36,0,ekonomika-sicav-a-s
115,130,yes,no,Max Development Fond SICAV a.s.,5,6,minimum_investment;target_return;fees;aum_history;annual_returns;news,Sbírka listin / ORSL > other official hub > canonical web,usable,1.95,0.5571,TWO_PERIODS,2024,recorded_first_accounting_period,2024-06-04/2024-12-31,annual_returns;aum_history,1.0,1.95,proven official route (other official hub),80,,https://www.creditasfondy.cz,0,3,1,1.9499999999999997,1.0,1.0,1.0,3.5,or.justice.cz;creditas.cz,31,4,max-development-fond-sicav-a-s
116,56,yes,no,"Commercial RE Investments SICAV, a.s.",4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,1.9125,0.5464,ONE_STUB_PERIOD,2025,recorded_establishment_date,2025-02-05,annual_returns;assets_under_management;aum_history;historical_values,0.4636,4.125,proven official route (AVANT); one annual report can answer 4 missing fields,132,,https://avantfunds.cz,0,5,2,3.3,1.0,1.0,1.25,3.5,avantfunds.cz,52,0,commercial-re-investments-sicav-a-s
117,132,yes,no,EVROPA Investiční Fond SICAV a.s.,6,5,assets_under_management;aum_history;annual_returns;historical_values;news,canonical web > Sbírka listin / ORSL,usable,3.5063,0.5394,MATURE,,no_age_evidence,,,1.0,3.5063,own site plus the register; one annual report can answer 4 missing fields; 10 sound cached documents never read,249,,https://www.evropa-fond.cz/,1,4,0,3.4000000000000004,0.75,1.0,1.375,6.5,evropa-fond.cz,26,10,evropa-investicni-fond-sicav-a-s
118,50,yes,no,"Accolade Assets Fund SICAV, a.s.",4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,1.875,0.5357,ONE_STUB_PERIOD,2025,recorded_first_accounting_period,2024-12-20/2025-12-31,annual_returns;assets_under_management;aum_history;historical_values,0.4286,4.375,proven official route (AVANT); one annual report can answer 4 missing fields,180,,https://accoladefunds.eu,2,2,2,3.5,1.0,1.0,1.25,3.5,avantfunds.cz,21,6,accolade-assets-fund-sicav-a-s
119,133,yes,no,Pale Fire Capital SICAV a.s.,3,8,investment_horizon;minimum_investment;target_return;fees;assets_under_management;annual_returns;historical_values;news,Sbírka listin / ORSL > canonical web,usable,3.4031,0.5236,MATURE,,no_age_evidence,,,1.0,3.4031,own site plus the register; one annual report can answer 3 missing fields; 20 sound cached documents never read,212,,https://palefirecapital.com,0,5,2,3.3,0.75,1.0,1.375,6.5,or.justice.cz;palefirecapital.com,34,20,pale-fire-capital-sicav-a-s
120,40,no,yes,Trigema Fund SICAV a.s.,5,6,target_return;assets_under_management;aum_history;annual_returns;historical_values;news,canonical web,usable,1.26,0.504,ONE_STUB_PERIOD,2025,recorded_establishment_date,2025-09-16,annual_returns;assets_under_management;aum_history;historical_values,0.3646,3.4563,canonical website only; one annual report can answer 4 missing fields,89,,https://trigemafund.cz,2,3,1,3.95,0.7,1.0,1.25,2.5,trigemafund.cz,18,9,trigema-fund-sicav-a-s
121,128,yes,no,LitFin SICAV a.s.,2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,Sbírka listin / ORSL > canonical web,usable,3.2625,0.5019,TWO_PERIODS,2024,recorded_establishment_date,2024-10-02,annual_returns;aum_history;historical_values,0.8923,3.6562,own site plus the register; one annual report can answer 4 missing fields,149,,https://litfin.fund,0,6,2,3.9,0.75,1.0,1.25,6.5,or.justice.cz,21,9,litfin-sicav-a-s
122,134,yes,no,Elnath Fund SICAV a.s.,2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,Sbírka listin / ORSL > canonical web,usable,3.2344,0.4976,MATURE,,no_age_evidence,,,1.0,3.2344,own site plus the register; one annual report can answer 4 missing fields,194,,https://www.siriusis.cz,0,5,3,3.45,0.75,1.0,1.25,6.5,or.justice.cz,39,0,elnath-fund-sicav-a-s
123,75,yes,no,IROMET SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,1.6875,0.4821,ONE_STUB_PERIOD,2025,ico_band,IČO 23296917,annual_returns;assets_under_management;aum_history;historical_values,0.4737,3.5625,proven official route (AMISTA); one annual report can answer 4 missing fields,199,23296917,https://www.amista.cz/povinne-informace.html,0,4,3,2.85,1.0,1.0,1.25,3.5,amista.cz,20,0,iromet-sicav-a-s
124,135,yes,no,"Cornerstone Investments SICAV, a.s.",7,4,minimum_investment;target_return;annual_returns;news,AVANT > canonical web,usable,1.65,0.4714,MATURE,2017,recorded_establishment_date,2017-06-12,,1.0,1.65,proven official route (AVANT); 21 sound cached documents never read,133,,https://www.cornerstone.cz/,0,2,2,1.5,1.0,1.0,1.1,3.5,avantfunds.cz,32,21,cornerstone-investments-sicav-a-s
125,136,yes,no,"PREVALENT SICAV, a.s.",7,4,minimum_investment;target_return;annual_returns;news,AVANT > canonical web,usable,1.65,0.4714,MATURE,,no_age_evidence,,,1.0,1.65,proven official route (AVANT); 14 sound cached documents never read,155,,https://www.prevalent.eu,0,2,2,1.5,1.0,1.0,1.1,3.5,avantfunds.cz,22,14,prevalent-sicav-a-s
126,137,yes,no,BRODIS INVEST SICAV a.s.,7,4,minimum_investment;target_return;annual_returns;news,DELTA IS > canonical web,usable,1.65,0.4714,MATURE,,no_age_evidence,,,1.0,1.65,proven official route (DELTA IS); 19 sound cached documents never read,236,,https://brodis.cz/,0,2,2,1.5,1.0,1.0,1.1,3.5,brodis.cz;deltais.cz,29,19,brodis-invest-sicav-a-s
127,138,yes,no,"URBAU SICAV, a.s.",7,4,investment_horizon;target_return;annual_returns;news,AVANT > canonical web > Sbírka listin / ORSL,usable,1.65,0.4714,MATURE,,no_age_evidence,,,1.0,1.65,proven official route (AVANT); 10 sound cached documents never read,290,09775331,https://www.urbau.cz/cs/home,0,2,2,1.5,1.0,1.0,1.1,3.5,avantfunds.cz,27,10,urbau-sicav-a-s
128,54,yes,no,FLOWPAY Fund SICAV a.s.,5,6,target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,1.6122,0.4606,NO_CLOSED_PERIOD,2026,recorded_establishment_year,2026,annual_returns;assets_under_management;aum_history;historical_values,0.3782,4.2625,proven official route (AVANT); one annual report can answer 4 missing fields; 23 sound cached documents never read,71,,https://www.flowpay.io/,1,3,2,3.1,1.0,1.0,1.375,3.5,avantfunds.cz,32,23,flowpay-fund-sicav-a-s
129,81,yes,no,"ESG HOLDING SICAV, a.s.",2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web > Sbírka listin / ORSL,usable,1.5423,0.4406,ONE_STUB_PERIOD,2025,recorded_establishment_date,2025-06-27,annual_returns;assets_under_management;aum_history;historical_values,0.4469,3.4512,proven official route (AVANT); one annual report can answer 4 missing fields; exact IČO makes the register usable,248,23442310,https://www.avantfunds.cz/,0,3,4,2.4,1.0,1.0,1.438,3.5,avantfunds.cz,48,0,esg-holding-sicav-a-s
130,140,yes,no,"ARBITAS SICAV, a.s.",7,4,minimum_investment;target_return;annual_returns;news,AVANT > canonical web,usable,1.5,0.4286,MATURE,,no_age_evidence,,,1.0,1.5,proven official route (AVANT),177,,https://www.avantfunds.cz/en/fondy/arbitas-sicav-a-s/,0,2,2,1.5,1.0,1.0,1.0,3.5,avantfunds.cz,34,4,arbitas-sicav-a-s
131,141,yes,no,"PRAGORENT investiční fond s proměnným základním kapitálem, a.s.",7,4,minimum_investment;target_return;annual_returns;news,AVANT > canonical web > Sbírka listin / ORSL,usable,1.485,0.4243,MATURE,,no_age_evidence,,,1.0,1.485,proven official route (AVANT); 12 sound cached documents never read,27,24788759,https://puif.cz,0,2,1,1.3499999999999999,1.0,1.0,1.1,3.5,avantfunds.cz,27,12,pragorent-investicni-fond-s-promennym-zakladnim-kapi
132,142,yes,no,"VivInvest fund SICAV, a.s.",8,3,target_return;annual_returns;news,AVANT > canonical web > Sbírka listin / ORSL,usable,1.485,0.4243,MATURE,,no_age_evidence,,,1.0,1.485,proven official route (AVANT); 16 sound cached documents never read,294,19647379,https://vivinvest.cz/,0,2,1,1.3499999999999999,1.0,1.0,1.1,3.5,avantfunds.cz;vivinvest.cz,30,16,vivinvest-fund-sicav-a-s
133,143,yes,no,WF Group SICAV a.s.,7,4,minimum_investment;target_return;annual_returns;news,AVANT > canonical web > Sbírka listin / ORSL,usable,1.485,0.4243,MATURE,,no_age_evidence,,,1.0,1.485,proven official route (AVANT); 25 sound cached documents never read,296,24762717,https://wfgroup.cz/,0,2,1,1.3499999999999999,1.0,1.0,1.1,3.5,avantfunds.cz;wfgroup.cz,40,25,wf-group-sicav-a-s
134,144,yes,no,"Sirius Investments, investiční fond s proměnným základním kapitálem, a.s.",7,4,target_return;assets_under_management;aum_history;annual_returns,other official hub > canonical web,usable,1.4438,0.4125,MATURE,,no_age_evidence,,,1.0,1.4438,proven official route (other official hub); one annual report can answer 3 missing fields; 11 sound cached documents never read,35,,https://siriusis.cz,0,1,3,1.05,1.0,1.0,1.375,3.5,siriusis.cz,39,11,sirius-investments-investicni-fond-s-promennym-zakla
135,145,yes,no,"Broker Consulting SICAV, a.s.",4,7,investment_horizon;minimum_investment;target_return;assets_under_management;annual_returns;historical_values;news,other official hub > canonical web,usable,1.4438,0.4125,MATURE,,no_age_evidence,,,1.0,1.4438,proven official route (other official hub); one annual report can answer 3 missing fields; 17 sound cached documents never read,238,,https://monecois.cz/informace-o-fondu-broker-consulting-sicav/,0,0,7,1.05,1.0,1.0,1.375,3.5,monecois.cz,38,17,broker-consulting-sicav-a-s
136,125,yes,no,Aurelia fondy SICAV a.s.,6,5,minimum_investment;administrator;aum_history;annual_returns;news,canonical web,usable,1.001,0.4004,ONE_STUB_PERIOD,2025,recorded_first_accounting_period,2024-11-07/2025-12-31,annual_returns;aum_history,0.6842,1.463,canonical website only; 13 sound cached documents never read,121,,https://fondaurelia.cz,1,1,2,1.9,0.7,1.0,1.1,2.5,framerusercontent.com;fondaurelia.cz,20,13,aurelia-fondy-sicav-a-s
137,146,yes,no,TOLAR SICAV a. s.,6,5,investment_horizon;minimum_investment;target_return;fees;news,AVANT > canonical web > Sbírka listin / ORSL,usable,1.38,0.3943,MATURE,,no_age_evidence,,,1.0,1.38,proven official route (AVANT); exact IČO makes the register usable,169,06697615,https://www.avantfunds.cz/cs/fondy/tolar-sicav-a-s/,0,1,4,1.2,1.0,1.0,1.15,3.5,avantfunds.cz,34,6,tolar-sicav-a-s
138,147,yes,no,Algorithmic SICAV a.s.,5,6,investment_horizon;minimum_investment;target_return;fees;historical_values;news,Sbírka listin / ORSL > canonical web,usable,2.5162,0.3871,MATURE,2021,recorded_establishment_date,2021-05-09,,1.0,2.5162,own site plus the register; 20 sound cached documents never read,233,,https://www.algorithmic-sicav.cz/,2,1,3,3.05,0.75,1.0,1.1,6.5,or.justice.cz;algorithmic-sicav.cz,29,20,algorithmic-sicav-a-s
139,148,yes,no,INVEST GATE Funds SICAV a.s.,6,5,minimum_investment;target_return;annual_returns;historical_values;news,DELTA IS > Sbírka listin / ORSL > canonical web,usable,1.35,0.3857,MATURE,,no_age_evidence,,,1.0,1.35,proven official route (DELTA IS),109,,https://investgate.cz/funds/,0,2,1,1.35,1.0,1.0,1.0,3.5,or.justice.cz;investgate.cz;deltais.cz,23,2,invest-gate-funds-sicav-a-s
140,149,yes,no,"EBM Real Estate SICAV, a.s.",9,2,investment_horizon;annual_returns,AVANT > canonical web,usable,1.32,0.3771,MATURE,,no_age_evidence,,,1.0,1.32,proven official route (AVANT); 19 sound cached documents never read,18,,https://www.ebmgroup.cz/,0,2,0,1.2,1.0,1.0,1.1,3.5,avantfunds.cz;ebmgroup.cz,42,19,ebm-real-estate-sicav-a-s
141,152,yes,no,Verdi SICAV a.s.,6,5,target_return;assets_under_management;aum_history;annual_returns;news,Sbírka listin / ORSL > canonical web,usable,2.3906,0.3678,MATURE,,no_age_evidence,,,1.0,2.3906,own site plus the register; one annual report can answer 3 missing fields,41,,https://verdicapital.eu,0,4,1,2.55,0.75,1.0,1.25,6.5,verdicapital.eu;or.justice.cz,14,4,verdi-sicav-a-s
